participant number ,Q214,Q225,Q227,Q228,Q231,Q233,Q454,Q578,Q589,Q535,Q536,Q534,Q588,Q467,Q137,Q139,Q174,Q164,Q457,Q196,Q187,Q197,Q195,Class
49,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low_risk
50,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low_risk
51,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low_risk
52,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Low_risk
53,1,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low_risk
54,1,1,3,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low_risk
55,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low_risk
56,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low_risk
57,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low_risk
58,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low_risk
59,2,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low_risk
60,2,3,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,High_risk
61,2,2,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Low_risk
62,1,2,3,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High_risk
63,2,1,2,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,High_risk
64,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High_risk
65,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low_risk
66,2,1,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Low_risk
67,2,2,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Low_risk
68,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High_risk
69,1,4,5,1,1,1,2,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,High_risk
70,1,1,1,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Low_risk
71,2,1,3,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,High_risk
72,1,1,1,3,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Low_risk
73,1,3,2,2,2,2,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,High_risk
74,2,2,2,2,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,High_risk
75,3,4,4,4,3,3,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,High_risk
76,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low_risk
77,3,3,3,3,3,3,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,High_risk
78,2,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,High_risk
79,2,1,1,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High_risk
80,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low_risk
81,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low_risk
82,3,5,5,3,3,1,0,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,High_risk
83,4,1,3,3,2,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,High_risk
84,2,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High_risk
85,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low_risk
86,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High_risk
87,1,2,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High_risk
88,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Low_risk
89,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low_risk
90,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low_risk
91,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Low_risk
92,2,2,2,2,2,2,2,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,1,High_risk
93,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low_risk
94,2,3,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High_risk
95,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low_risk
96,1,2,3,1,3,3,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,High_risk
97,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,High_risk
98,3,1,2,3,3,4,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,High_risk
99,2,2,2,2,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,High_risk
100,1,2,3,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,High_risk
101,1,2,3,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,High_risk
102,1,1,1,1,1,1,2,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,Low_risk
103,3,1,1,2,3,3,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,High_risk
104,1,1,1,1,1,1,2,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,Low_risk
105,3,3,3,3,2,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,High_risk
106,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Low_risk
107,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low_risk
108,3,1,3,3,2,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,Low_risk
109,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low_risk
110,2,1,2,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,High_risk
111,1,1,3,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,High_risk
112,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Low_risk
113,1,2,5,2,2,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,High_risk
114,2,2,3,2,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,High_risk
115,2,2,4,2,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,Low_risk
116,1,1,1,1,2,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Low_risk
117,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low_risk
118,2,4,4,1,4,4,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,High_risk
119,1,2,4,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,High_risk
120,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Low_risk
121,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High_risk
122,1,2,1,1,1,1,2,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,High_risk
123,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Low_risk
124,1,1,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,High_risk
125,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,High_risk
126,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,High_risk
127,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low_risk
128,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low_risk
129,2,5,5,4,3,2,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,High_risk
130,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Low_risk
131,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low_risk
132,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low_risk
133,1,3,3,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,High_risk
134,1,2,2,2,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,High_risk
135,1,3,3,1,3,2,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,High_risk
136,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High_risk
137,1,1,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High_risk
138,2,3,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High_risk
139,4,2,3,3,4,4,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,High_risk
140,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low_risk
141,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,High_risk
142,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Low_risk
143,1,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High_risk
144,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low_risk
145,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,Low_risk
146,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low_risk
147,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low_risk
148,2,3,2,1,2,2,2,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,High_risk
149,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low_risk
150,3,4,3,4,3,2,2,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,High_risk
151,2,2,2,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Low_risk
152,1,2,1,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,Low_risk
153,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low_risk
154,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low_risk
155,2,3,4,2,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,High_risk
156,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low_risk
157,2,3,2,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,High_risk
158,1,5,5,1,5,2,2,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,High_risk
159,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High_risk
160,1,1,3,3,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,High_risk
161,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low_risk
162,1,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low_risk
163,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low_risk
164,2,4,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High_risk
165,1,1,3,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,High_risk
166,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low_risk
167,1,2,2,1,3,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,High_risk
168,1,5,5,1,5,5,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,High_risk
169,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low_risk
170,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Low_risk
171,2,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High_risk
172,1,1,2,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,High_risk
173,1,2,1,2,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Low_risk
174,1,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High_risk
175,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Low_risk
176,1,1,1,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low_risk
177,1,3,3,2,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,High_risk
178,3,4,3,4,2,1,2,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,High_risk
179,1,1,3,1,1,2,2,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,High_risk
